review,rating
"The ear phones are very small making it very uncomfortable to be used for long hours. Outer ear pinna starts paining, the device is very small to fit and cover the full ear!",2.0 out of 5 stars
Good,3.0 out of 5 stars
"Like the description says, the bass quality is very good but the headphones do not sit comfortably on your ears. Makes it uncomfortable and there is absolutely NO noise cancellation.",3.0 out of 5 stars
"GOOD LOW BUDGET MODEL
NOT VERY IMPRESSED WITH SOUND BUT ITS NOT BAD EITHER..
CAN BUY...Nice one",3.0 out of 5 stars
Not good,1.0 out of 5 stars
ok,3.0 out of 5 stars
"Sound quality is okay for the price.
But the pads seem to be of very bad quality. It really hurts to wear for even 20 min. Recommended to search if a better one out there.",2.0 out of 5 stars
"Good product.
Rubber quality on the ear is good. But sometimes painful",3.0 out of 5 stars
Okay product but after some time pain in ears normal use not use for listening song,3.0 out of 5 stars
This headphone built quality is good. But the sound quality and bass we expect was that upto the mark. For normal used its okay.,3.0 out of 5 stars
Good product value for money writing review after using for 1 year after purchase date..only issue with this headphone is unbearable pressure on ear after 30 mins of continous use,3.0 out of 5 stars
"Nice product but minimum price value 450RS please giving best prize all was good not bad product is good base,noise cancellation,and voice",3.0 out of 5 stars
"It's stop working after 8 months without any reason. Boat is not giving warranty service saying invoice invalidated I tried two times, visited two times to service center. Totally frustrated, Amazon should take the lead and also the supplier must be black listed",1.0 out of 5 stars
"BOAT is an OK product, it's stopped working in few days time, head take it authorised service although they have promised that they will return the same, waiting to see what comes next. Not a great stuff!!",3.0 out of 5 stars
"The mic stopped working in 4 months, its an expensive product compared to its overall sound quality which is below average as compared to other brand's headphones in similar price range. I used another bluetooth headphone from this brand which were slightly better quality & lasted for 2 years. They also stopped working in 8 months but got a warranty repair from the manufacturer/service center.",2.0 out of 5 stars
"After wearing it for only 10 min, it starts paining your ears. They are not comfortable to wear for long hours.",2.0 out of 5 stars
"Do not buy if u wear specs , my ears started hurting in a bit , and also kind of messed up the frame of my glasses",3.0 out of 5 stars
Leather got torn within a year and there's no option on how to avail the warranty thing.,2.0 out of 5 stars
"This has one of the worst microphones. Great sound quality tho. so if you don't care about the mic , you should probably buy it",3.0 out of 5 stars
"When is used my headphones for talking to someone in call ,the other person in the call hear a ghrrrrrr sound continuously",3.0 out of 5 stars
"The product was for my son's online classroom sessions. However, the ear cover gets heated when used continuously for a 30 ~ 45 minute period. Hence it's being used sparingly now.",3.0 out of 5 stars
" Sound quality is best,",3.0 out of 5 stars
"Overall good, but treble sound is one star",3.0 out of 5 stars
Purchased in the month of Sep 21. Started using in month of December. But today is mid Jan 2022 and it has stopped working for reasons unknown. Is there any way that the product can be checked. Otherwise also audio quality not expected as per Boat standards.,2.0 out of 5 stars
Unless you hold the mic very close to the mouth the audio is not loud. The headphone is good.,3.0 out of 5 stars
"Average, not a great piece based on price, could be better",3.0 out of 5 stars
Packaging Was not upto the mark. Used this product for 2 week. so far performing good. for this price its an good product. will update after a while.,3.0 out of 5 stars
"Within a year it's speakers not worked.
This product is so bogus as I think this lots is bogus...",2.0 out of 5 stars
"It is not meant for hardcore music lovers, only thing your ears will feel is the heavy bass and nothing else.. I ordered it to use in WFH meetings and it is serving the purpose well",3.0 out of 5 stars
"After discounts i finally bought it for just 300 rupee dont wait because i got with a coupon available with me
Wonderfull for the price
Done side is it started paining my ears as the cups are not soft and tight
Music is decent and not extraordinary",3.0 out of 5 stars
Material used not good . Headphones costing torn in just 7 days,3.0 out of 5 stars
Everything fine except sound that exceed outer while using normal volume,3.0 out of 5 stars
NOT A GOOD MICROPHONE BUT ITS SOUND QUALITY IS AMAZING,3.0 out of 5 stars
Everything is good but wire quality is very bad 👎,1.0 out of 5 stars
"The other person is not able to hear me at times. Not really happy but had to keep it as till the time I started using it, the return date has passed.",2.0 out of 5 stars
headset plastic body is very fragile and so broke very early.,2.0 out of 5 stars
I hate the tightness on your ears,3.0 out of 5 stars
"The sound output is acceptable.
However mic is not good. Receivers complaint lot of noise.
The headphone feel tighter after 30 min so not for long use.
It just solve purpose for a while",3.0 out of 5 stars
"Sound was not working th
e voice is not listening due to wire damage",1.0 out of 5 stars
Sound is good and bass is also good but noise cancellation is not good.,3.0 out of 5 stars
Not good,1.0 out of 5 stars
"Noise cancelling is not upto the mark, ear pads are not matching well near ears .",3.0 out of 5 stars
Sooo the moment I purchased it...it worked perfectly for around 2 months but after that the sound quality detoriated and the headphone jack start shorting which made my phone restart again and again ....it was perfect in the starting but not anymore...I would recommend buying a costlier headphone like around 1-3k or if u want a cheaper one just stick with earphones....,2.0 out of 5 stars
"Built quality looks like a cheap ones sound is ok, not value for money..",2.0 out of 5 stars
"Overall Product is GOOD built quality and length of wire is very nice BUT BASS is missing...
But apart from bass the quality of sound is overall very fine but it misses background voice",3.0 out of 5 stars
Product was good but warranty was not claiming i don't know why waste of money the warranty process was not good,1.0 out of 5 stars
"headphone was working fine for 4 months, suddenly mike is not working properly front person is not able to hear voice,voice is not audible.",3.0 out of 5 stars
Tight to head .more than 1 hr will not good for you.,3.0 out of 5 stars
The sound is so nice but after use of 2 days it will cause of pain in ear so if you have number glasees in your eyes so this is not for you..,3.0 out of 5 stars
Had to keep mic near my mouth while speaking..it creates discomfort,2.0 out of 5 stars
It will not work properly on Mi phones for call. You hear other person's voice clearly on call but your vice will not reach other end.,3.0 out of 5 stars
"Sound quality is not that good but its okay. I recieved it today and by evening the sound was coming out of only one side, i moved the jack a bit and the sound was back in both(luckily). I don't know how long it will last but that made me realize that quality wise its not that good . The headphone is very flimsy and its not for rough users. It comes with 1 year warranty. Packaging is good.",2.0 out of 5 stars
"Good headphones at the price point. Even the microphone is good. It stays closer to the mouth and it does not fall back on the face.

The head bands are little tight, and over use the ear cups and head band material disintegrates. Although I was using it at home, and prolonged usage caused this issue.",3.0 out of 5 stars
Bass is good but more improvement for clarity of jhankar and other music sounds.,3.0 out of 5 stars
"pros
sound =great
bass=Excellent
mic=good
wire =lasts long

cons
u can hear all conversation of ur family even in 80% volume .
poor passive noise cancelling.(becuase it doesn't cover whole ear ,it sits on it)
comfort is is utterly disaster.
anything more than an hour ur ears get go numb & there comes headache.

if u buy this product below ₹700 . it is best anything more it's best to save that money for blutooth earphones.",3.0 out of 5 stars
"Everything is good but not excellent. One demerit is that, after using continuously for approx 6 months the leather will tearing off. The leather quality is not too good.",3.0 out of 5 stars
This is moving tight from one side and moving smooth from other side,3.0 out of 5 stars
"After rough use of 6months the sponges started to get torn off..Gives little pain to ears after a hour of usage..But value for the money.Cheap ,best,beuatiful in looks but little uncomfortable .",3.0 out of 5 stars
Ear pinna start paining after 1 hr that's the only problem,3.0 out of 5 stars
It was ok AND Bass is decent 👍 and comfort wise ok ok 👍 🆗,3.0 out of 5 stars
"I didn't liked its bass, its bass is very overpowering and as a result I cannot hear vocals and instruments clearly, and also it has loose hinge problem that's why I had to return this product.",2.0 out of 5 stars
" I'm using this for my PC.
Sound quality is not good at all.At starting months,it seemed awesome to me.
After a use of 6 months...
When the noise is full,it could be heard upto 2 meters,and person sitting next almost gets disturbed.
I didn't expected this from boAt.
The hardware(Body) is good as expected and good ear cushions.
It has average noise cancellation too.",3.0 out of 5 stars
"Cable is high quality, sound is fine. Leather is not good, it get too hot if wear for 30 mins.. overall quality is just ok.. voice is clear ..",3.0 out of 5 stars
"It's worth buying, but it's over ear headphone, so make sure you are using it for a short time(< 1 hr) orelse you will feel pain, primary otalgia on your heart. Sounds are clear and crisp.",3.0 out of 5 stars
"Sound quality great
Microphone - need to press to talk.",3.0 out of 5 stars
Good,3.0 out of 5 stars
In line mic needs to be improved. Can't use this for meetings/calls as the other person won't be able to hear you.,3.0 out of 5 stars
Bad product,1.0 out of 5 stars
I can't recommend this cheap product. With minimal usage the wire broke at left side. Sound quality is also decreased.,3.0 out of 5 stars
"Cheap headphone that highlights bass. Good only for bass-boosted songs. If you are expecting crystal clear audio, forget this.

This headphone is no match for even the cheapest headphones fro Sennheiser or Sony or JBL etc.",2.0 out of 5 stars
Some extra sounds coming during call,2.0 out of 5 stars
"Good quality but the packaging was not good....it can be damaged without proper packaging, please focus on good packaging for valuable items. Thanks!!

Recommending this to my friends too:)",3.0 out of 5 stars
It's not comfortable for long usege my ear was damage,3.0 out of 5 stars
Something missing improve it,3.0 out of 5 stars
Ok ok product worthy for 599,3.0 out of 5 stars
"The boat is now a very good brand, marketed in India. The sound quality is decent and I find it useful while doing casual gaming or listening to music. While watching movies or TV Series, the voice I find is not so crisp but still gets the work done in full volume. I do not listen to anything in 100% volumes as it increases the treble a lot. I rather prefer to keep my sound levels to 50-60% which is crisp and sharp.",3.0 out of 5 stars
Good but long usage causes pain at the back of ears as I wear spectacles...,3.0 out of 5 stars
"Though the sound quality is best it's the comfort that kills the product review...
It irritates if use for more than 1 hr...
And eventually cushion will fade it will start hurting you ear even more",3.0 out of 5 stars
"Only for high bass, no other form of sound have clear sound
very pathetic , no clip to hold the in line mic near mouth , so less audible to other party",2.0 out of 5 stars
"ആർക്കും ഞാൻ suggest cheyyunnilla, രണ്ട് മൂന്നു തവണ use ചെയ്താൽ മടുക്കും",3.0 out of 5 stars
"They hold ear very tightly due to which it pains a lot. And no noise cancellation is their.
Promised as feather light but they are very heavy.
Better to go for wireless headsets.
I was unaware that wireless headsets have option to connect via te cable also.
I thought they connect only via bluetooth and with time as their battery 🔋 life will degrade then very soon they will be of no use as connectivity also becomes very poor then",1.0 out of 5 stars
I think u should go for Boult not this 😊,3.0 out of 5 stars
I am using this for now 1 year now this headphones can handle rough use. Sound quality in excellent bass is good noise cancellation is also good for loud and punchy music this are best. But headphones don't offer comfort after 1 hour of continue usage my ears start to hurt the cushioning is not that soft. If u r loud and punchy music lover these r for u but if you watch movies then you should go for more comfortable headphones.,3.0 out of 5 stars
This does not serve well for conference calls as it picks up lot of background noise and am very unhappy with the product.,3.0 out of 5 stars
"Noise cancellation :- very bad
Sound quality :- GOOD
BASS:VERY GOOD
PRODUCT MATERIALS :- SUPERB",3.0 out of 5 stars
Don't buy a this product and damage on spring side and replace customers care,3.0 out of 5 stars
Product is good but when we are connected in meeting opposite persons getting noise,3.0 out of 5 stars
"Size is small & very delicate in use, Otherwise performance meet with the expectation",3.0 out of 5 stars
 please replace my product asap,1.0 out of 5 stars
Within a few months wire is faulted and when connected to phone it makes phone behave odd.,2.0 out of 5 stars
Not satisfied,3.0 out of 5 stars
"While speaking, if the headphone's wire is shacked up, then noise is being produced & the person, whom I called,is hearing noise with voice",3.0 out of 5 stars
Overall a good product in this price range. The only thing I didn't like is that the ears starts to ache if you use it for more than 1-2 hour.,3.0 out of 5 stars
"1 year warranty of product is all fake, my earphones got defective and contact to appeal for warranty taking too much time to respond and have not got replacement",1.0 out of 5 stars
Good product,3.0 out of 5 stars
"Pros - Good quality, good sound, good bass, not expensive.
Con - It's not designed for comfort. You can't keep it on for longer duration as it feels tight on the ear.",3.0 out of 5 stars
"The size of the product is too small, over all material quality is good but if they would made the cushioning some more it would have a good product, sound quality is not that much you can expect a standard sound , same as in the case of bass, you can not bare this up to 45 minutes continuously because of heat will generate inside the cushion.",3.0 out of 5 stars
Everything about this product is excellent bass treble sound.. But you can't wear it for more than 10 mins cause it pains a lot in ears.,3.0 out of 5 stars
"It was nice initially, but my friends started complaining after 3 months about my voice quality when I'm talking on this headset.",3.0 out of 5 stars
Overall good at this price.,3.0 out of 5 stars
Good,3.0 out of 5 stars
एक ठीक प्रोडक्ट है लेकिन जितने अच्छे साउंड की उम्मीद थी उतना अच्छा नही है,3.0 out of 5 stars
To be honest you guys this headphone sound quality is horrible too much treble I see all other people claiming it has a allot of base but no I’m a base lover there’s no base if you higher up the volume it hurts the ear I didnt expect this I wanna exchange already! This was my first headphone I purchased and Im totally disappointed since I use my apple earpiece it sounds much better than this headphone such a waste of money ! Now another issue it stop working within a month and there is no option to replace also this is a horrible experience ever like thus are the worst thing I’ve ever bought online. Don’t buy it amazon lies!!! There was no option for warranty since they didn’t gave any bill or nothing !!,3.0 out of 5 stars
Good for worth,3.0 out of 5 stars
Cables are thin and always entangled,1.0 out of 5 stars
The left-right audio balance is off. There's more volume in the left side. This makes it awkward to listen to music as it feels like you're going dear on your right. Could be improved by fixing this issue.,3.0 out of 5 stars
Base is not sufficient,3.0 out of 5 stars
"OK, not so bad. But the sound quality is not what I expected.",3.0 out of 5 stars
it could easily break so be careful but sound is super good,3.0 out of 5 stars
"If you want to enjoy good music, invest more money and buy something better",3.0 out of 5 stars
But very tight and my ears are pained,3.0 out of 5 stars
"I always use the products of boAt, but this item is not advisable. I am feeling external earpain when I used. I kept aside. But I could not return it, because I purchased it long back.",2.0 out of 5 stars
"Mic quality is poor,I will not recommend this headphones if you use mic regularly for meetings",3.0 out of 5 stars
"I feel this product is OK if you use it for just listening. The mic quality is poor, I got issues in many calls that I had attended. Other side of people complained about my voice being very low. Otherwise this is a good product, bass is also OK. I liked its light weight.",3.0 out of 5 stars
Good quality nice base sound but while keeping it ear's are paining,3.0 out of 5 stars
"Pros
Worth the price
Cons
Picks too much noise
Causes head pain on longer usage",3.0 out of 5 stars
"Bass not good
Sound good",3.0 out of 5 stars
First of all it does not provide noise cancellation. Sound and bass quality is pretty good but it's too tight for the head. I am getting headache after I wear it for more than half an hour,3.0 out of 5 stars
Worth buying ekdam badhoya hai mast avaz ati aur tikau hai 15 months hogay abhi bhi koi problem nahi hai,3.0 out of 5 stars
Mic problem hoi thoda...... Calling karte wakt samne wale ko awaj nahi aata hai....,3.0 out of 5 stars
i have used these for a year to be specific and these are pretty good in this price range and good bass with better sound quality,3.0 out of 5 stars
Mic is worst other side person said loudly,3.0 out of 5 stars
"As per Price Sound is ok

but in this price range

we can also try

some other Brands like soni etc",3.0 out of 5 stars
"Build & sound quality is very good for the price point. Although microphone is useless, it is too far off in the wire to catch what the user speaks. Unless you want to hold it close to the mousr this is of no use whatsoever for any type of o line calls, be it skype, teams or zoom.",3.0 out of 5 stars
"After using for longtime I like to say that boat has introduced a base less sound head phone
Water of money cheap HP can be better
Water of money don't buy expected is much for water of Money",2.0 out of 5 stars
"Sound is good with good base but there is problem after wearing when u listen the music ,the person sitting nearby can hear the lyrics properly",3.0 out of 5 stars
"Service not support us, it is under repair with in one month",1.0 out of 5 stars
Average,3.0 out of 5 stars
"Not working, product delivered is bad quality",2.0 out of 5 stars
I was expecting better quality. This will not stay good for beyond a year. Better to buy a slightly expensive headphones that are more durable,2.0 out of 5 stars
Build quality is average. Wire broken after using 3 months,2.0 out of 5 stars
Everytime I ordered this headphone..in one or two days .it give a issue.. about one side crack.or ekse one side not working .i need it in replacement.whts wrong with this model,2.0 out of 5 stars
"Item not working after 3 month, not even use that much, very poor aux and wire quality replace asap",1.0 out of 5 stars
"Nice sound quality, comfortable to wear and bad build quality.",2.0 out of 5 stars
"mic is not upto that quality, stopped working within 3 months of buying.",2.0 out of 5 stars
"Just got these headphones, the sound is awesome but I am not a heavy listener. Brought this for office calls but there is NO NOISE CANCELLATION, You can hear Fan voice and other disturbance. The wire is too long. But ultimately not good for calling, so my rating will be 3/5. Got it for Rs 799.",3.0 out of 5 stars
"Not good not bad
Needs improment",3.0 out of 5 stars
Though sound quality is amazing. It's very tight on ears! Thus returned .,3.0 out of 5 stars
I bought for my work purposes but it's mic does not work good,2.0 out of 5 stars
"Too much noice, can say bass but it's not a true bass & clarity. Sound like someone singing inside deep hall.

Rs.600 you will get 3.5mm with no sound quality.

This is not good for bollywood music.

Better to buy 300rs earphone which give better quality and clarity.",2.0 out of 5 stars
"while booking the product, they mentioned extra ear guds will be provide ...but here there is no extra ear buds.",3.0 out of 5 stars
Mic quality is poor,3.0 out of 5 stars
"Good product for small heads,not suitable for big head people",3.0 out of 5 stars
"Average product - my experience. Returned the first headphone due to twitching sound, on replacement got seal tampered product and faulty piece.",2.0 out of 5 stars
VERY VERY BAD FOR LONG TIME USAGE,3.0 out of 5 stars
"Good when it comes to sound quality and bass etc.
From the ergonomics point of view it's not good. One can't work with it for longer duration (30-40 min.), it puts pressure on your ears- may be due to its design.",3.0 out of 5 stars
"1. Sound quality is good.
2. Can't use for longer time is drawback. Its ear pain when you used more than hours.",3.0 out of 5 stars
Need improvement,3.0 out of 5 stars
Some times one speaker is not working.,3.0 out of 5 stars
This is my 2nd buying of boat headphone no bass like previous one wire is thin.,1.0 out of 5 stars
" According to price ok product
Bass is good but not crisp sound
Uncomfortable for long time
Looks is great",3.0 out of 5 stars
Very hard in ears. Not recommended for prolonged use,3.0 out of 5 stars
The sound was clear and bass was good. But now after a month usage ( not rough usage) the output sound of both speakers has reduced.,3.0 out of 5 stars
I like the build quality it is good. But in the case of sound quality the vocals aee good but bass is very low compared to Boat 400 series overall just ok. The headset is not too tight so its easy to wear for long hours.,3.0 out of 5 stars
I would give a five star rating if it had lasted long atleast an year but unfortunately it was not the case. For me one side was not working at the 7th month and it was a bit irritating. So if you wanna buy then it's upto ur choice.,3.0 out of 5 stars
Good,3.0 out of 5 stars
For calling and song listening,3.0 out of 5 stars
Low budget,3.0 out of 5 stars
Not comparable,3.0 out of 5 stars
"Sound Quality Below Average
Noise cancellation is Good,
Seller has delivered a Tampared Box, Seal not found.",3.0 out of 5 stars
"Bass quality was average. There is nothing special in the noise cancellation on an average in every headphone you can get these kind of noise cancellation. Even sound quality was not outstanding but yes you can get clear audio.

My headphone cord was sound fast from the Jack section only after one and half month later. Most importantly it is from the junction.",3.0 out of 5 stars
Bass overpowers the voice,3.0 out of 5 stars
The microphone doesn't seem to be working that well.,3.0 out of 5 stars
For long use for the people has round face ear feels pain due to tight holding,3.0 out of 5 stars
Bad product after 1month ..one side not working and they don't replace it,1.0 out of 5 stars
The sound and bass is good but the ears start to pain after 45 min of continuous use which is quite irritating as I need to use this for longer hours.,3.0 out of 5 stars
"Build quality is Good, Sony was my choice before purchasing Boat, however i'm satisfied with the product. It hurts your ears for sure, if you've big head please ignore this for purchase. I've got headache after listening to songs in high volumes. Overall good product, as the model was introduced in 2017 cant expect up-to date features.",3.0 out of 5 stars
"Just occurs head ache after using it for long time. Ear pain also occurs.
Quality wise good for sound n material used but design of headphone is not much comfortable to use.
""NOT RECOMMENDED FOR CHILDREN""",3.0 out of 5 stars
"The warranty service provided by BOAT is worst. I have been trying to contact them since last one month. But no one picking up the call. I have even registered my complaint through the website, but got no response. so if u r purchasing this product keep one thing in mind: Once the product starts malfunctioning u will be unable to replace the defected product. LOHE KE CHANE CHABANE PAD JAYENGE. But one thing must be appreciated sound quality and comfortability is this product is good. But their customer service is worst.",3.0 out of 5 stars
Sound quality was awesome. However I don't recommend it because after a few minutes of playing music your outer ear feels like burning and it becomes extremely difficult to put on these headphones any longer. People who watch series while lying down shouldn't buy it because you will not be able to lie on your side. Those who wear SPECTACLES please DON'T BUY these headphones. My experience was horrific to the extent that I started to hate playing music.,2.0 out of 5 stars
I found these headphones very uncomfortable to wear. I was using Sony headphones earlier. So thought of giving Boat a try. But my regretting buying them.,3.0 out of 5 stars
It is not the best headphone that you can use because everything works amazing at the start amd with few weeks it stops work and erratic functions starts working on it own. In middle of a video it will start telling me the timings or it will adjust volume up and down etc etc,1.0 out of 5 stars
"The mic isn't working within one week of buying , very disappointed .",3.0 out of 5 stars
"1. The price of the product reduced by Rs. 150 right after I ordered the product.
2. While I'm in a meeting and using this headphone, other participants complaint about disturbing noise. Turns out, the noise generates even for slightest movement of the cable.",2.0 out of 5 stars
"Nice quality of headphones🎧
I will give 8.5 out of 10.",3.0 out of 5 stars
"I am not very impressed with the headphones. Its average in avery aspect. Not that it wont do the work but nothing stands out.
I expected more when spending Rs700-800, better, dig a bit deeper in once pocket and go for seinheisser, sony etc",3.0 out of 5 stars
This product was good but after 5 months one side stopped working.. then I had to directly deal with Boat customer care and it got 2 months for replacement process but at last I got it.,3.0 out of 5 stars
I bought two headphones. Only one is working fine and another one is not working after one week. I need to adjust headphone pin to make it work properly everytime which is irritating. It is not good for meeting purpose. But BASS effect is very good at this price to hear song..,2.0 out of 5 stars
"At this price this product is godd for buying, but the bass boosted hype is false, is is good for general use, but I can say that the sound quality is not very good and bass also not very good, it is good at this price, if you want good quality then you should go for jbl headphones",3.0 out of 5 stars
"Average product. Sound quality is okay but sound goes out a lot.
Used for 1 year and 6 months. Working good.",3.0 out of 5 stars
This is second or third boat headphones and I have found that these are real value for money product. Over all sound quality is very good and do is the bass quality.,3.0 out of 5 stars
Rest all is good except the notice cancellation which is very important. When you speak on mic the other person can literally hear everything in background not your voice.,1.0 out of 5 stars
"Good sound quality and decent bass

Pro's
1. Sound quality
2.bass

Cons
1. Sound leakage is very high, so not preferable for travel, sony MDR is fair better option in this price range.
2. Size wise also bit huge than expected.",3.0 out of 5 stars
This was purchased in December and it suddenly stopped working in just one month though the usage is not that extensive,2.0 out of 5 stars
"Not ok
Quality going down",3.0 out of 5 stars
"Nice build quality but very tight on ears... It starts hurting after 10 min of use.. if you can make them loose by some ""jugaad"" , then they will be perfect... But i do not recommend this to men.. They will be tight for you guys anyway",3.0 out of 5 stars
Very worst Mike and opposite people can't hear completely and unable to return it. Worst sound quality and noise canceling is not working,1.0 out of 5 stars
"Very normal headphone. You can buy more good quality headphones offline for same price.
Even with bluetooth. Sound is ok but they are not comfortable, you can't use than more than 30 minutes continuously.",3.0 out of 5 stars
"Sound Quality is not good if you want it for listening music or watching movie...but it is okay for attending online calls for those professional or students who would like to use it frequently for online meeting or training purpose.
Okay product but could have been better.Sound quality is good but after using 3 months, now I am seeing that all the places where metal is used getting corroded , which decrease the beauty of the product.",2.0 out of 5 stars
"Sound is okay okay not good not bad but comfirt wise its not good, after 20 minutes you get irritated by its tightness.",3.0 out of 5 stars
"The first thing that strikes you is how light this product is, very impressive. The sound quality is good considering it's price, but you get what you have paid for. The only drawback I see, is the size of the earphone loves, it is small even for someone who has tiny earlobes like me. With time it kind of irritates due to the pressure it puts on your ears, especially if you wear specs",3.0 out of 5 stars
"Pros:
1. Sound quality is better that my laptop
2. Sturdy cord

Cons:
1. Does not fit with my iphone cover due to thick metal back of the plug
2. You start to feel the pressur in about 20-30 minutes",3.0 out of 5 stars
"The only issue with the headset is that, it's microphone (Mike) is far away and it's audio hole is located in the opposite direction, making it very hard for the person to hear our voice when we speak.
Apart from that, it is the best.",3.0 out of 5 stars
Very bad choice to use this one for office calls. Poor mic quality and no noise cancellation at all.,1.0 out of 5 stars
"It's not that bad, but not that good also😏😏😏",3.0 out of 5 stars
"Sound quality is good, looks good
Boat has really nice product quality.",3.0 out of 5 stars
"Not gives effect,some what good, it makes my ear heat, go for another product... Bass low, Treple ok,",3.0 out of 5 stars
Not good,3.0 out of 5 stars
It's good for the price range it's being sold that is sub 1000 range ONLY except for the noise you get to hear along as disturbance faintly. I hope not all headphone has this issue but if you have than consider returning it,3.0 out of 5 stars
"Sound quality is worst , I mean it’s creating extra tunes and hits in brain, I felt a big headache every time when I use it for a longer time in a day! I don’t use it any more and got same review from friend as well",1.0 out of 5 stars
Mute button is not working. Rest is fine,3.0 out of 5 stars
Ok,3.0 out of 5 stars
I like this headphone but it's not very comfortable and now I can't return it,3.0 out of 5 stars
"The sound quality is excellent but the wire quality is poor , after 1 year i had connectivity problem which made me more angry plz improve the quality of product , otherwise the the product is good",2.0 out of 5 stars
Good,3.0 out of 5 stars
